Trigger_Date,2023/06/19
Trigger_Time,T 13:00:04.255 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.570
Time (ms),Voltage (V),Current (A)
0.46,-54.959,-2.738
0.49,-57.942,-2.933
0.52,-61.136,-3.208
0.55,-64.47,-3.46
0.59,-67.839,-3.631
0.62,-71.208,-3.757
0.65,-74.402,-3.883
0.68,-77.525,-4.032
0.72,-80.579,-4.204
0.75,-83.737,-4.365
0.78,-86.755,-4.582
0.81,-89.949,-4.766
0.85,-92.932,-4.914
0.88,-95.845,-5.132
0.91,-98.477,-5.292
0.94,-101.004,-5.43
0.98,-103.636,-5.67
1.01,-106.549,-6.014
1.04,-109.673,-6.346
1.07,-112.726,-6.724
1.11,-115.709,-7.068
1.14,-118.762,-7.515
1.17,-121.851,-8.007
1.21,-125.079,-8.363
1.24,-128.343,-8.615
1.27,-131.467,-8.947
1.3,-134.555,-9.348
1.34,-137.503,-9.68
1.37,-140.451,-10.047
1.4,-143.504,-10.413
1.43,-146.663,-10.642
1.47,-149.681,-10.963
1.5,-152.454,-11.261
1.53,-155.367,-11.559
1.56,-158.244,-11.948
1.6,-161.192,-12.189
1.63,-163.965,-12.429
1.66,-166.772,-12.739
1.69,-169.545,-12.899
1.73,-172.177,-13.105
1.76,-174.915,-13.414
1.79,-177.687,-13.609
1.82,-180.565,-13.838
1.86,-183.232,-14.102
1.89,-185.689,-14.285
1.92,-188.181,-14.583
1.95,-190.532,-14.869
1.99,-192.848,-14.927
2.02,-195.164,-15.041
2.05,-197.551,-15.224
2.08,-199.832,-15.305
2.12,-201.938,-15.419
2.15,-203.973,-15.602
2.18,-205.904,-15.66
2.21,-207.799,-15.706
2.25,-209.834,-15.946
2.28,-211.8,-16.026
2.31,-213.8,-16.141
2.35,-215.871,-16.255
2.38,-217.696,-16.324
2.41,-219.415,-16.565
2.44,-220.995,-16.656
2.48,-222.574,-16.725
2.51,-224.294,-17.0
2.54,-226.083,-17.011
2.57,-227.803,-17.149
2.61,-229.558,-17.458
2.64,-231.277,-17.538
2.67,-232.997,-17.813
2.7,-234.682,-18.077
2.74,-236.261,-18.065
2.77,-237.77,-18.26
2.8,-239.244,-18.558
2.83,-240.718,-18.673
2.87,-242.297,-18.959
2.9,-244.017,-19.199
2.93,-245.386,-19.154
2.96,-246.614,-19.348
3.0,-247.983,-19.612
3.03,-249.457,-19.726
3.06,-250.931,-20.047
3.09,-252.44,-20.288
3.13,-253.879,-20.448
3.16,-255.072,-20.597
3.19,-256.23,-20.872
3.22,-257.388,-20.941
3.26,-258.546,-20.987
3.29,-259.74,-21.204
3.32,-260.898,-21.33
3.35,-261.916,-21.422
3.39,-262.968,-21.605
3.42,-264.302,-21.8
3.45,-265.601,-21.926
3.48,-266.689,-22.132
3.52,-267.706,-22.419
3.55,-268.829,-22.567
3.58,-269.812,-22.739
3.62,-270.9,-23.106
3.65,-272.128,-23.392
3.68,-273.216,-23.53
3.71,-274.059,-23.69
3.75,-275.076,-23.828
3.78,-276.059,-23.862
3.81,-276.515,-23.816
3.84,-276.866,-24.057
3.88,-277.814,-24.263
3.91,-279.007,-24.274
3.94,-279.428,-24.08
3.97,-279.639,-24.091
4.01,-280.305,-24.354
4.04,-280.867,-24.332
4.07,-281.007,-24.228
4.1,-281.218,-24.366
4.14,-281.779,-24.423
4.17,-282.341,-24.458
4.2,-282.376,-24.446
4.23,-282.236,-24.423
4.27,-282.306,-24.458
4.3,-282.306,-24.343
4.33,-282.13,-24.16
4.36,-281.885,-24.102
4.4,-281.779,-24.034
4.43,-281.639,-23.908
4.46,-281.288,-23.862
4.49,-280.551,-23.747
4.53,-279.884,-23.53
4.56,-279.288,-23.415
4.59,-278.375,-23.106
4.62,-277.533,-22.991
4.66,-276.796,-22.854
4.69,-275.919,-22.625
4.72,-274.796,-22.579
4.76,-273.637,-22.292
4.79,-272.339,-22.052
4.82,-271.075,-21.869
4.85,-269.742,-21.571
4.89,-268.373,-21.399
4.92,-267.145,-21.25
4.95,-266.022,-21.078
4.98,-264.723,-20.872
5.02,-263.179,-20.7
5.05,-261.459,-20.483
5.08,-259.74,-20.322
5.11,-258.266,-20.15
5.15,-256.757,-19.944
5.18,-255.107,-19.875
5.21,-253.387,-19.83
5.24,-251.808,-19.738
5.28,-250.124,-19.6
5.31,-248.264,-19.486
5.34,-246.439,-19.348
5.37,-244.649,-19.211
5.41,-242.894,-19.108
5.44,-241.174,-18.959
5.47,-239.384,-18.821
5.5,-237.489,-18.707
5.54,-235.524,-18.695
5.57,-233.629,-18.673
5.6,-231.734,-18.524
5.63,-229.874,-18.478
5.67,-227.908,-18.512
5.7,-226.118,-18.306
5.73,-224.188,-18.203
5.76,-222.223,-18.214
5.8,-220.222,-18.077
5.83,-218.292,-17.905
5.86,-216.257,-17.848
5.9,-214.186,-17.871
5.93,-212.115,-17.825
5.96,-210.115,-17.733
5.99,-208.185,-17.745
6.03,-206.29,-17.493
6.06,-204.149,-17.298
6.09,-202.078,-17.264
6.12,-199.797,-17.126
6.16,-197.516,-17.057
6.19,-195.656,-17.126
6.22,-193.796,-16.931
6.25,-191.479,-16.725
6.29,-189.268,-16.828
6.32,-187.128,-16.633
6.35,-184.952,-16.485
6.38,-182.741,-16.393
6.42,-180.46,-16.164
6.45,-178.214,-16.061
6.48,-176.213,-16.049
6.51,-174.072,-15.877
6.55,-171.616,-15.854
6.58,-169.264,-15.763
6.61,-166.667,-15.431
6.64,-164.035,-15.27
6.68,-161.543,-14.927
6.71,-158.911,-14.526
6.74,-156.7,-14.411
6.77,-154.279,-14.136
6.81,-151.295,-13.678
6.84,-148.207,-13.54
6.87,-145.47,-13.357
6.9,-142.978,-13.071
6.94,-140.311,-12.761
6.97,-137.363,-12.464
7.0,-134.239,-12.223
7.04,-131.467,-12.04
7.07,-128.799,-11.719
7.1,-125.816,-11.33
7.13,-122.763,-11.032
7.17,-119.499,-10.711
7.2,-116.341,-10.436
7.23,-113.463,-10.081
7.26,-110.41,-9.726
7.3,-107.04,-9.416
7.33,-103.566,-9.05
7.36,-100.162,-8.626
7.39,-96.722,-8.271
7.43,-93.178,-7.767
7.46,-89.668,-7.228
7.49,-85.983,-6.873
7.52,-82.439,-6.369
7.56,-78.929,-5.9
7.59,-75.314,-5.648
7.62,-71.77,-5.315
7.65,-68.225,-4.96
7.69,-64.68,-4.617
7.72,-61.241,-4.365
7.75,-57.942,-4.204
7.78,-54.468,-3.906
7.82,-50.923,-3.643
7.85,-47.484,-3.505
7.88,-44.115,-3.219
7.91,-40.535,-3.093
7.95,-37.166,-2.818
7.98,-37.376,-1.959
8.01,-43.062,-0.412
8.04,-39.798,1.306
8.08,-29.059,1.134
8.11,-24.181,0.332
8.14,-22.461,0.275
8.18,-18.074,1.02
8.21,-6.984,1.535
8.24,4.001,1.237
8.27,11.055,0.515
8.31,13.512,0.493
8.34,18.636,0.458
8.37,16.565,0.928
8.4,12.073,1.993
8.44,17.793,2.234
8.47,22.25,1.741
8.5,25.304,0.882
8.53,26.567,0.687
8.57,28.462,0.916
8.6,31.27,1.558
8.63,35.551,2.199
8.66,40.079,2.463
8.7,44.466,2.463
8.73,47.94,2.451
8.76,51.028,2.406
8.79,53.696,2.474
8.83,56.714,2.772
8.86,59.908,3.047
8.89,63.417,3.311
8.92,66.962,3.551
8.96,70.471,3.723
8.99,73.946,3.895
9.02,77.315,4.101
9.05,80.684,4.307
9.09,83.983,4.525
9.12,87.177,4.754
9.15,90.265,4.972
9.18,93.073,5.201
9.22,95.599,5.418
9.25,98.196,5.762
9.28,101.144,6.106
9.31,104.128,6.358
9.35,107.181,6.656
9.38,110.234,6.885
9.41,113.252,7.228
9.45,116.516,7.664
9.48,119.71,7.893
9.51,122.588,8.214
9.54,125.43,8.523
9.58,128.448,8.809
9.61,131.537,9.061
9.64,134.695,9.474
9.67,137.854,9.886
9.71,140.837,10.127
9.74,143.715,10.482
9.77,146.698,10.814
9.8,149.646,11.078
9.84,152.559,11.398
9.87,155.647,11.719
9.9,158.56,11.822
9.93,161.368,12.028
9.97,164.035,12.487
10.0,166.667,12.693
10.03,169.334,12.922
10.06,172.247,13.323
10.1,175.23,13.449
10.13,178.073,13.735
10.16,180.986,14.239
10.19,183.829,14.319
10.23,186.32,14.571
10.26,188.847,14.938
10.29,191.269,14.915
10.32,193.34,15.121
10.36,195.761,15.465
10.39,198.077,15.385
10.42,200.183,15.408
10.45,202.219,15.58
10.49,204.149,15.442
10.52,205.869,15.454
10.55,207.588,15.568
10.59,209.413,15.58
10.62,211.414,15.671
10.65,213.449,15.843
10.68,215.239,15.854
10.72,216.888,15.935
10.75,218.573,16.21
10.78,220.258,16.233
10.81,221.942,16.347
10.85,223.732,16.691
10.88,225.522,16.874
10.91,227.312,17.034
10.94,229.102,17.286
10.98,230.856,17.458
11.01,232.506,17.642
11.04,234.155,17.882
11.07,235.629,17.997
11.11,236.998,18.168
11.14,238.647,18.478
11.17,240.332,18.638
11.2,241.946,18.89
11.24,243.385,19.199
11.27,244.824,19.268
11.3,246.123,19.474
11.33,247.491,19.623
11.37,248.72,19.704
11.4,250.124,20.036
11.43,251.738,20.15
11.46,253.177,20.299
11.5,254.581,20.563
11.53,255.984,20.826
11.56,257.178,20.987
11.59,258.231,21.181
11.63,259.389,21.456
11.66,260.582,21.559
11.69,261.775,21.628
11.73,262.898,21.8
11.76,264.091,21.949
11.79,265.32,22.155
11.82,266.583,22.419
11.86,267.741,22.476
11.89,268.619,22.682
11.92,269.637,22.991
11.95,270.865,23.106
11.99,271.953,23.312
12.02,273.006,23.541
12.05,273.918,23.724
12.08,274.796,23.908
12.12,275.673,23.999
12.15,276.41,24.022
12.18,277.217,24.011
12.21,278.094,24.057
12.25,278.937,24.263
12.28,279.533,24.286
12.31,279.919,24.412
12.34,280.27,24.526
12.38,280.867,24.526
12.41,281.464,24.618
12.44,281.85,24.595
12.47,281.99,24.607
12.51,282.411,24.801
12.54,282.797,24.698
12.57,282.797,24.549
12.6,282.516,24.435
12.64,282.095,24.171
12.67,281.534,23.999
12.7,281.323,23.999
12.73,281.429,23.908
12.77,281.253,23.782
12.8,280.867,23.77
12.83,280.27,23.69
12.87,279.99,23.61
12.9,279.709,23.576
12.93,279.147,23.495
12.96,278.375,23.335
13.0,277.708,23.312
13.03,277.042,23.209
13.06,276.164,23.026
13.09,275.111,22.888
13.13,273.813,22.648
13.16,272.479,22.281
13.19,271.111,22.018
13.22,269.707,21.743
13.26,268.303,21.514
13.29,267.004,21.261
13.32,265.671,20.987
13.35,264.267,20.792
13.39,262.582,20.586
13.42,260.757,20.368
13.45,259.003,20.334
13.48,257.458,20.208
13.52,255.774,19.99
13.55,254.089,19.978
13.58,252.405,19.738
13.61,250.545,19.463
13.65,248.825,19.406
13.68,246.965,19.177
13.71,244.93,18.902
13.74,243.069,18.902
13.78,241.28,18.856
13.81,239.174,18.547
13.84,237.173,18.604
13.87,235.349,18.73
13.91,233.418,18.421
13.94,231.418,18.375
13.97,229.733,18.386
14.01,227.908,18.123
14.04,225.943,18.123
14.07,223.943,18.134
14.1,221.872,17.894
14.14,219.872,17.928
14.17,217.801,17.848
14.2,215.765,17.687
14.23,214.011,17.871
14.27,212.291,17.813
14.3,210.501,17.733
14.33,208.817,17.871
14.36,206.992,17.802
14.4,204.71,17.687
14.43,202.499,17.745
14.46,200.429,17.607
14.49,198.393,17.47
14.53,196.498,17.561
