Trigger_Date,2023/06/26
Trigger_Time,T 08:17:56.275 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.545
Time (ms),Voltage (V),Current (A)
4.04,-281.885,1.168
4.07,-279.919,0.962
4.1,-278.41,0.63
4.13,-277.463,0.424
4.17,-276.726,0.309
4.2,-276.024,0.355
4.23,-274.866,0.722
4.26,-273.181,1.077
4.3,-270.97,1.203
4.33,-268.759,1.168
4.36,-266.583,1.088
4.39,-264.653,0.939
4.43,-262.933,0.836
4.46,-261.249,0.894
4.49,-259.143,1.249
4.52,-256.757,1.283
4.56,-254.686,0.905
4.59,-252.931,0.905
4.62,-251.212,0.916
4.65,-249.878,0.573
4.69,-249.001,0.252
4.72,-248.299,0.412
4.75,-247.141,0.779
4.78,-245.421,0.997
4.82,-243.35,1.111
4.85,-240.999,1.306
4.88,-238.261,1.501
4.91,-235.454,1.466
4.95,-232.892,1.26
4.98,-230.505,1.146
5.01,-228.4,1.065
5.04,-226.434,0.939
5.08,-224.785,0.859
5.11,-223.17,0.802
5.14,-221.732,0.722
5.17,-220.363,0.699
5.21,-218.889,0.779
5.24,-217.064,1.042
5.27,-214.748,1.352
5.3,-211.94,1.558
5.34,-208.852,1.661
5.37,-205.728,1.615
5.4,-202.956,1.34
5.44,-200.639,1.088
5.47,-198.639,0.997
5.5,-196.568,1.077
5.53,-194.357,1.191
5.57,-192.041,1.283
5.6,-189.339,1.455
5.63,-186.566,1.478
5.66,-184.004,1.214
5.7,-181.653,1.123
5.73,-179.442,1.237
5.76,-176.915,1.386
5.79,-174.178,1.466
5.83,-171.124,1.627
5.86,-167.86,1.776
5.89,-164.702,1.627
5.92,-161.929,1.272
5.96,-159.648,1.042
5.99,-157.051,1.535
6.02,-153.822,1.867
6.05,-149.927,2.096
6.09,-146.136,1.947
6.12,-142.662,1.627
6.15,-139.503,1.661
6.18,-136.24,1.695
6.22,-133.221,1.524
6.25,-130.344,1.386
6.28,-127.536,1.524
6.31,-124.307,1.764
6.35,-120.798,1.947
6.38,-116.937,2.039
6.41,-113.042,1.993
6.44,-109.427,1.787
6.48,-106.058,1.695
6.51,-102.724,1.73
6.54,-99.284,1.821
6.57,-95.529,2.016
6.61,-91.423,2.222
6.64,-87.106,2.291
6.67,-82.825,2.188
6.7,-78.754,2.039
6.74,-74.998,1.856
6.77,-71.7,1.604
