Trigger_Date,2023/06/23
Trigger_Time,T 08:29:51.065 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.511
Time (ms),Voltage (V),Current (A)
-6.83,218.924,0.424
-6.79,220.503,0.298
-6.76,221.521,0.16
-6.73,222.504,0.275
-6.7,224.399,0.515
-6.66,227.066,0.699
-6.63,230.154,0.676
-6.6,232.997,0.607
-6.57,235.278,0.458
-6.53,236.928,0.286
-6.5,237.946,0.172
-6.47,238.893,0.241
-6.44,240.157,0.332
-6.4,242.052,0.504
-6.37,244.403,0.596
-6.34,247.105,0.596
-6.31,250.194,0.768
-6.27,253.107,0.584
-6.24,254.791,0.206
-6.21,255.598,0.115
-6.18,256.406,0.241
-6.14,257.634,0.286
-6.11,259.003,0.344
-6.08,260.898,0.515
-6.05,263.284,0.561
-6.01,265.285,0.389
-5.98,266.794,0.275
-5.95,268.022,0.309
-5.92,269.426,0.321
-5.88,271.075,0.412
-5.85,273.146,0.515
-5.82,275.392,0.493
-5.79,277.077,0.309
-5.75,277.849,0.034
-5.72,277.954,0.046
-5.69,278.481,0.206
-5.66,279.604,0.309
-5.62,281.183,0.401
-5.59,283.289,0.55
-5.56,285.78,0.584
-5.53,287.816,0.401
-5.49,289.22,0.229
-5.46,290.027,0.149
-5.43,290.939,0.229
-5.4,291.747,0.16
-5.36,292.343,0.103
-5.33,293.466,0.401
-5.3,294.905,0.286
-5.27,295.712,0.092
-5.23,296.274,0.149
-5.2,296.695,0.092
-5.17,296.449,-0.183
-5.14,296.274,0.092
-5.1,297.221,0.367
-5.07,298.625,0.275
-5.04,299.573,0.172
-5.01,300.485,0.218
-4.97,301.117,0.115
-4.94,301.152,-0.092
-4.91,301.257,0.126
-4.88,301.503,0.023
-4.84,301.187,-0.115
-4.81,301.363,0.137
-4.78,302.029,0.206
-4.75,302.24,-0.069
-4.71,301.538,-0.229
-4.68,300.38,-0.263
-4.65,299.117,-0.286
-4.62,297.818,-0.286
-4.58,297.327,0.023
-4.55,298.169,0.344
-4.52,299.187,0.183
-4.49,299.081,-0.195
-4.45,297.572,-0.481
-4.42,295.116,-0.607
-4.39,292.378,-0.596
-4.36,290.167,-0.424
-4.32,289.044,-0.08
-4.29,289.29,0.218
-4.26,289.957,0.115
-4.23,289.641,-0.206
-4.19,287.921,-0.515
-4.16,285.219,-0.653
-4.13,282.341,-0.642
-4.1,279.779,-0.504
-4.06,278.235,-0.206
-4.03,277.849,0.057
-4.0,277.989,0.08
-3.97,277.849,-0.08
-3.93,276.796,-0.367
-3.9,274.55,-0.619
-3.87,271.777,-0.63
-3.84,269.356,-0.458
-3.8,267.706,-0.263
-3.77,266.653,-0.172
-3.74,265.846,-0.183
-3.71,264.548,-0.321
-3.67,262.407,-0.619
-3.64,259.143,-0.779
-3.61,255.984,-0.676
-3.58,253.598,-0.378
-3.54,252.054,-0.252
-3.51,250.896,-0.252
-3.48,250.475,0.069
-3.45,250.58,0.034
-3.41,249.457,-0.481
-3.38,246.649,-0.745
-3.35,243.596,-0.642
-3.32,240.788,-0.561
-3.28,238.507,-0.47
-3.25,236.682,-0.332
-3.22,235.208,-0.309
-3.19,233.734,-0.332
-3.15,231.909,-0.435
-3.12,229.558,-0.607
-3.09,226.996,-0.527
-3.06,224.96,-0.355
-3.02,223.557,-0.252
-2.99,222.328,-0.263
-2.96,220.959,-0.309
-2.93,219.345,-0.412
-2.89,216.818,-0.664
-2.86,213.239,-0.905
-2.83,209.378,-0.859
-2.8,206.044,-0.642
-2.76,203.763,-0.378
-2.73,202.394,-0.183
-2.7,201.517,-0.149
-2.67,200.499,-0.263
-2.63,198.569,-0.561
-2.6,195.34,-0.848
-2.57,191.444,-0.894
-2.54,187.724,-0.768
-2.5,184.636,-0.596
-2.47,182.425,-0.389
-2.44,180.811,-0.263
-2.41,179.126,-0.447
-2.37,176.424,-0.71
-2.34,172.844,-0.859
-2.31,168.948,-0.882
-2.28,165.158,-0.79
-2.24,162.105,-0.55
-2.21,160.034,-0.367
-2.18,158.209,-0.435
-2.15,155.612,-0.664
-2.11,152.383,-0.768
