Trigger_Date,2023/06/28
Trigger_Time,T 10:07:11.227 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.544
Time (ms),Voltage (V),Current (A)
-3.16,-255.283,-36.967
-3.12,-253.809,-36.772
-3.09,-252.299,-36.612
-3.06,-250.755,-36.429
-3.03,-249.176,-36.028
-2.99,-247.386,-35.627
-2.96,-245.491,-35.306
-2.93,-243.526,-34.997
-2.9,-241.595,-34.848
-2.86,-239.771,-34.687
-2.83,-237.981,-34.516
-2.8,-236.436,-34.447
-2.77,-234.822,-34.218
-2.73,-233.243,-33.874
-2.7,-231.839,-33.633
-2.67,-230.365,-33.347
-2.64,-228.54,-32.981
-2.6,-226.891,-32.694
-2.57,-225.031,-32.431
-2.54,-223.065,-32.041
-2.51,-221.03,-31.72
-2.47,-218.784,-31.331
-2.44,-216.292,-30.861
-2.41,-214.291,-30.793
-2.38,-212.361,-30.689
-2.34,-210.291,-30.54
-2.31,-208.746,-30.414
-2.28,-207.237,-30.185
-2.25,-205.447,-29.807
-2.21,-203.658,-29.361
-2.18,-201.727,-28.857
-2.15,-199.551,-28.456
-2.12,-197.305,-28.089
-2.08,-195.059,-27.757
-2.05,-192.708,-27.528
-2.02,-190.532,-27.276
-1.99,-188.251,-26.852
-1.95,-185.759,-26.497
-1.92,-183.337,-26.107
-1.89,-180.775,-25.66
-1.85,-178.214,-25.363
-1.82,-175.757,-25.099
-1.79,-173.37,-24.698
-1.76,-170.844,-24.286
-1.72,-168.211,-23.816
-1.69,-165.579,-23.323
-1.66,-162.772,-22.831
-1.63,-159.648,-22.304
-1.59,-156.735,-21.926
-1.56,-153.822,-21.685
-1.53,-150.874,-21.273
-1.5,-148.137,-20.895
-1.46,-145.259,-20.494
-1.43,-142.346,-20.116
-1.4,-139.574,-19.681
-1.37,-136.801,-19.303
-1.33,-134.064,-18.97
-1.3,-131.572,-18.558
-1.27,-128.94,-18.123
-1.24,-126.308,-17.653
-1.2,-123.676,-17.183
-1.17,-120.868,-16.656
-1.14,-117.92,-16.072
-1.11,-114.972,-15.499
-1.07,-111.673,-14.881
-1.04,-108.163,-14.388
-1.01,-104.689,-13.941
-0.98,-101.109,-13.46
-0.94,-97.389,-12.968
-0.91,-93.704,-12.372
-0.88,-89.949,-11.685
-0.85,-85.878,-11.009
-0.81,-81.807,-10.436
-0.78,-77.841,-9.737
-0.75,-73.56,-9.119
-0.72,-69.559,-8.741
-0.68,-65.804,-8.282
-0.65,-61.908,-7.824
-0.62,-58.293,-7.469
-0.59,-55.029,-7.137
-0.55,-51.836,-6.77
-0.52,-48.817,-6.301
-0.49,-45.975,-5.842
-0.46,-43.132,-5.453
-0.42,-40.219,-4.983
-0.39,-37.517,-4.525
-0.36,-34.885,-4.101
-0.33,-32.007,-3.608
-0.29,-28.954,-3.047
-0.26,-25.584,-2.429
-0.23,-22.075,-1.821
-0.2,-18.179,-1.272
-0.16,-14.108,-0.768
-0.13,-9.721,-0.401
-0.1,-5.264,-0.069
-0.07,-0.772,0.103
-0.03,0.526,0.951
0.0,1.965,2.795
0.03,5.721,4.078
0.07,8.633,4.823
0.1,12.248,5.281
0.13,16.635,5.315
0.16,21.443,5.212
0.2,26.532,5.338
0.23,31.48,5.281
0.26,35.692,4.972
0.29,39.096,4.846
0.33,41.833,5.098
0.36,44.325,5.659
0.39,46.712,6.312
0.42,48.888,6.988
0.46,50.993,7.687
0.49,53.345,8.374
0.52,55.836,9.119
0.55,58.714,9.852
0.59,61.943,10.585
0.62,65.593,11.375
0.65,69.453,11.948
0.68,73.419,12.452
0.72,77.42,12.945
0.75,81.386,13.392
0.78,85.316,13.861
0.81,89.072,14.354
0.85,92.827,14.915
0.88,96.547,15.328
0.91,99.916,15.683
0.94,103.04,16.106
0.98,106.093,16.507
