Trigger_Date,2023/07/06
Trigger_Time,T 15:49:23.422 PDT
Samples_Per_Cycle,512
Microseconds_Per_Sample,32.563
Time (ms),Voltage (V),Current (A)
8.14,0.105,0.011
8.17,0.105,0.011
8.21,0.07,0.023
8.24,0.07,0.011
8.27,0.105,0.011
8.3,0.07,0.011
8.34,0.07,0.011
8.37,0.105,0.023
8.4,0.105,0.011
8.43,0.105,0.023
8.47,0.105,0.011
8.5,0.07,0.011
8.53,0.105,0.011
8.56,0.105,0.023
8.6,0.105,0.023
8.63,0.07,0.011
8.66,0.07,0.011
8.69,0.07,0.023
8.73,0.07,0.011
8.76,0.105,0.023
8.79,0.07,0.011
8.82,0.105,0.023
8.86,0.07,0.011
8.89,0.07,0.011
8.92,0.105,0.023
8.95,0.105,0.011
8.99,0.105,0.011
9.02,0.07,0.011
9.05,0.07,0.011
9.09,0.105,0.011
9.12,0.105,0.011
9.15,0.105,0.011
9.18,0.07,0.011
9.22,0.105,0.023
9.25,0.07,0.023
9.28,0.105,0.011
9.31,0.105,0.011
9.35,0.07,0.011
9.38,0.07,0.023
9.41,0.07,0.011
9.44,0.07,0.011
9.48,0.105,0.011
9.51,0.07,0.011
9.54,0.105,0.023
9.57,0.07,0.023
9.61,0.105,0.023
9.64,0.07,0.011
9.67,0.07,0.023
9.7,0.07,0.023
9.74,0.105,0.023
9.77,0.105,0.023
9.8,0.105,0.011
9.83,0.07,0.011
9.87,0.105,0.011
9.9,0.07,0.011
9.93,0.07,0.011
9.96,0.07,0.011
10.0,0.07,0.023
10.03,0.105,0.023
10.06,0.035,0.011
10.09,0.07,0.011
10.13,0.07,0.023
10.16,0.105,0.023
10.19,0.105,0.011
10.22,0.07,0.023
10.26,0.07,0.011
10.29,0.105,0.011
10.32,0.07,0.011
10.36,0.105,0.011
10.39,0.07,0.011
10.42,0.07,0.011
10.45,0.07,0.023
10.49,0.07,0.023
10.52,0.07,0.011
10.55,0.07,0.011
10.58,0.07,0.011
10.62,0.07,0.011
10.65,0.07,0.023
10.68,0.105,0.011
10.71,0.07,0.011
10.75,0.105,0.023
10.78,0.105,0.011
10.81,0.105,0.023
10.84,0.105,0.023
10.88,0.105,0.023
10.91,0.07,0.011
10.94,0.105,0.011
10.97,0.07,0.011
11.01,0.07,0.011
11.04,0.07,0.011
11.07,0.07,0.023
11.1,0.07,0.011
11.14,0.07,0.011
11.17,0.105,0.011
11.2,0.105,0.023
11.23,0.105,0.023
11.27,0.105,0.023
11.3,0.07,0.023
11.33,0.07,0.011
11.36,0.105,0.011
11.4,0.105,0.011
11.43,0.07,0.011
11.46,0.07,0.011
11.49,0.105,0.011
11.53,0.07,0.011
11.56,0.14,0.011
11.59,0.07,0.011
11.63,0.105,0.023
11.66,0.07,0.011
11.69,0.07,0.023
11.72,0.07,0.011
11.76,0.105,0.011
11.79,0.07,0.011
11.82,0.07,0.011
11.85,0.07,0.011
11.89,0.07,0.011
11.92,0.07,0.011
11.95,0.105,0.011
11.98,0.105,0.011
12.02,0.105,0.023
12.05,0.07,0.023
12.08,0.105,0.011
12.11,0.105,0.011
12.15,0.07,0.011
12.18,0.07,0.023
12.21,0.07,0.011
12.24,0.07,0.023
12.28,0.07,0.011
12.31,0.07,0.023
12.34,0.105,0.023
12.37,0.07,0.023
12.41,0.105,0.023
12.44,0.105,0.023
12.47,0.07,0.023
12.5,0.105,0.023
12.54,0.07,0.011
12.57,0.07,0.023
12.6,0.105,0.023
12.63,0.105,0.023
12.67,0.07,0.023
12.7,0.07,0.011
12.73,0.07,0.023
12.76,0.07,0.023
12.8,0.07,0.023
12.83,0.07,0.023
12.86,0.105,0.023
12.9,0.07,0.023
12.93,0.07,0.011
12.96,0.07,0.023
12.99,0.105,0.011
13.03,0.07,0.011
13.06,0.07,0.023
13.09,0.105,0.023
13.12,0.07,0.011
13.16,0.105,0.023
13.19,0.105,0.011
13.22,0.07,0.023
13.25,0.07,0.011
13.29,0.07,0.011
13.32,0.105,0.023
13.35,0.105,0.011
13.38,0.07,0.023
13.42,0.07,0.011
13.45,0.07,0.011
13.48,0.07,0.023
13.51,0.105,0.023
13.55,0.07,0.023
13.58,0.105,0.023
13.61,0.07,0.011
13.64,0.07,0.011
13.68,0.07,0.023
13.71,0.035,0.023
13.74,0.105,0.011
13.77,0.105,0.023
